# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,
# Wed Apr 10 06:47:10 2024,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# User preference: *,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# CONSTRAINT:  where (pl_orbsmaxstr in [0.08, 1.],,,,,,,,,,,,,,,,,,
# CONSTRAINT:  and pl_densstr < 0.3),,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
# COLUMN pl_name:        Planet Name,,,,,,,,,,,,,,,,,,,
# COLUMN hostname:       Host Name,,,,,,,,,,,,,,,,,,,
# COLUMN disc_facility:  Discovery Facility,,,,,,,,,,,,,,,,,,,
# COLUMN pl_controv_flag: Controversial Flag,,,,,,,,,,,,,,,,,,,
# COLUMN pl_refname:     Planetary Parameter Reference,,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]),,,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter Radius],,,,,,,,,,,,,,,,,,,
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass],,,,,,,,,,,,,,,,,,,
# COLUMN pl_dens:        Planet Density [g/cm**3],,,,,,,,,,,,,,,,,,,
# COLUMN st_refname:     Stellar Parameter Reference,,,,,,,,,,,,,,,,,,,
# COLUMN st_teff:        Stellar Effective Temperature [K],,,,,,,,,,,,,,,,,,,
# COLUMN st_rad:         Stellar Radius [Solar Radius],,,,,,,,,,,,,,,,,,,
# COLUMN st_mass:        Stellar Mass [Solar mass],,,,,,,,,,,,,,,,,,,
# COLUMN sy_refname:     System Parameter Reference,,,,,,,,,,,,,,,,,,,
# COLUMN sy_vmag:        V (Johnson) Magnitude,,,,,,,,,,,,,,,,,,,
# COLUMN sy_kmag:        Ks (2MASS) Magnitude,,,,,,,,,,,,,,,,,,,
# COLUMN rowupdate:      Date of Last Update,,,,,,,,,,,,,,,,,,,
# COLUMN pl_pubdate:     Planetary Parameter Reference Publication Date,,,,,,,,,,,,,,,,,,,
# COLUMN releasedate:    Release Date,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,
pl_name,hostname,disc_facility,pl_controv_flag,pl_refname,pl_orbper,pl_orbsmax,pl_radj,pl_bmasse,pl_dens,st_refname,st_teff,st_rad,st_mass,sy_refname,sy_vmag,sy_kmag,rowupdate,pl_pubdate,releasedate
Kepler-427 b,Kepler-427,Kepler,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,10.290994,0.0913,1.23,92.80636,0.195,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,5800,1.35,0.96,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.301,12.777,18/03/2019,2017-06,21/03/2019
CoRoT-22 b,CoRoT-22,CoRoT,0,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,9.75598,0.092,0.435,12.2,0.249,<a refstr=MOUTOU_ET_AL__2014 href=https://ui.adsabs.harvard.edu/abs/2014MNRAS.444.2783M/abstract target=ref>Moutou et al. 2014</a>,5939,1.14,1.1,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.82,11.988,21/08/2014,2014-08,21/08/2014
Kepler-435 b,Kepler-435,Kepler,0,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,8.6001536,0.0949,1.99,270.1555,0.134,<a refstr=BONOMO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017A&A...602A.107B/abstract target=ref>Bonomo et al. 2017</a>,6090,3.21,1.54,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.704,12.291,18/03/2019,2017-06,21/03/2019
TOI-5398 b,TOI-5398,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=MANTOVAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231016888M/abstract target=ref>Mantovan et al. 2023</a>,10.590547,0.098,0.919,58.7,0.29,<a refstr=MANTOVAN_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv231016888M/abstract target=ref>Mantovan et al. 2023</a>,6000,1.05,1.15,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,10.059,8.713,07/11/2023,2023-10,07/11/2023
TOI-1842 b,TOI-1842,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=WITTENMYER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...82W/abstract target=ref>Wittenmyer et al. 2022</a>,9.5739,0.1001,1.04,68.01528,0.252,<a refstr=WITTENMYER_ET_AL__2022 href=https://ui.adsabs.harvard.edu/abs/2022AJ....163...82W/abstract target=ref>Wittenmyer et al. 2022</a>,6230,2.02,1.46,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,9.815,8.446,13/12/2021,2022-02,13/12/2021
Kepler-18 d,Kepler-18,Kepler,0,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,14.85888,0.1172,0.623,16.4,0.27,<a refstr=COCHRAN_ET_AL__2011 href=https://ui.adsabs.harvard.edu/abs/2011ApJS..197....7C/abstract target=ref> Cochran et al. 2011 </a>,5345,1.11,0.97,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.771,11.756,14/05/2014,2011-11,14/05/2014
Kepler-9 b,Kepler-9,Kepler,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,19.27082403,0.141788,0.722,25.90393,0.26957,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,5778,1.02,1.02,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.922,12.337,21/02/2024,2024-01,21/02/2024
TOI-2525 b,TOI-2525,Transiting Exoplanet Survey Satellite (TESS),0,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,23.2856,0.1511,0.774,26.69759,0.225,<a refstr=TRIFONOV_ET_AL__2023 href=https://ui.adsabs.harvard.edu/abs/2023arXiv230205694T/abstract target=ref>Trifonov et al. 2023</a>,5096,0.79,0.85,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.216,11.905,25/02/2023,2023-02,25/02/2023
Kepler-9 c,Kepler-9,Kepler,0,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,38.90787517,0.226498,0.723,27.28727,0.28229,<a refstr=WEISS_ET_AL__2024 href=https://ui.adsabs.harvard.edu/abs/2024ApJS..270....8W/abstract target=ref>Weiss et al. 2024</a>,5778,1.02,1.02,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,13.922,12.337,21/02/2024,2024-01,21/02/2024
Kepler-51 b,Kepler-51,Kepler,0,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,45.154,0.2514,0.633,2.1,0.03,<a refstr=MASUDA_2014 href=https://ui.adsabs.harvard.edu/abs/2014ApJ...783...53M/abstract target=ref> Masuda 2014 </a>,6018,0.94,1.04,<a refstr=STASSUN_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019AJ....158..138S/abstract target=ref>TICv8</a>,14.885,13.197,14/05/2014,2014-03,14/05/2014
